trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-122.67182764586745,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-141.91796384325892,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-72.35834769078413,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-126.01179651527751,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-138.56417708426744,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-219.08362193544232,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-55.4294175120764,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-147.8532821699826,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,1,-54.12285583120872,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-36.75945411499388,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-85.89139147933017,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-39.03292033001974,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-127.37306399654068,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-20.364004911359697,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-155.6114287712015,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,2.6825155243524623,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,6.968669917589151,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-9.484458407122712,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,1.2062748212351275,"{0: 26, 1: 3, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-48.69127490509477,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,27.52162706228321,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-35.019616882115415,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
