trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 0.9995}",35,0,-183.61321502707378,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.06, 'e': 0.9990000000000001}",30,0,-236.00224888382397,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
3,False,"{'a': 0.06, 'e': 0.9985000000000002}",20,0,-49.739435203907696,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.06, 'e': 0.9980000000000002}",25,0,-191.45033253326648,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
5,False,"{'a': 0.06, 'e': 0.9975000000000003}",20,0,-59.311517330557834,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.06, 'e': 0.9970000000000003}",25,5,-110.22655885448745,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.06, 'e': 0.9965000000000004}",30,0,-203.46735797274653,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
8,False,"{'a': 0.06, 'e': 0.9960000000000004}",20,0,-80.65447472869165,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.06, 'e': 0.9955000000000005}",20,0,-53.422826737399,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.06, 'e': 0.9950000000000006}",20,0,-115.01141923071559,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.06, 'e': 0.9945000000000006}",20,0,-60.21730238708289,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.06, 'e': 0.9940000000000007}",20,0,-29.639541375894197,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.06, 'e': 0.9935000000000007}",20,14,-12.339564992187999,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.06, 'e': 0.9930000000000008}",25,12,-44.65075322120868,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
15,False,"{'a': 0.06, 'e': 0.9925000000000008}",20,0,-135.15778102173488,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
