trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 0.35355339059327373}",20,0,-93.45865863274855,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.06, 'e': 0.2886751345948129}",20,0,-83.98348576082462,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.06, 'e': 0.25}",25,0,-215.54175977115898,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.06, 'e': 0.22360679774997896}",30,0,-116.12608701183143,"{0: 20, 1: 0, 2: 7, 3: 3, 4: 0}",0
5,False,"{'a': 0.06, 'e': 0.20412414523193154}",20,0,-83.24543982994169,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.06, 'e': 0.1889822365046136}",25,0,-43.094754275067814,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.06, 'e': 0.17677669529663687}",25,0,-38.19437400966862,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.06, 'e': 0.16666666666666666}",20,0,-50.94544156253206,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.06, 'e': 0.15811388300841897}",20,0,-17.5493036488501,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.06, 'e': 0.15075567228888181}",20,0,-63.484633408965266,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.06, 'e': 0.14433756729740646}",25,0,-67.27637612116284,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.06, 'e': 0.1386750490563073}",25,13,13.245077598009402,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.06, 'e': 0.1336306209562122}",30,0,16.9062522364526,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.06, 'e': 0.12909944487358055}",25,0,26.933629920201092,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.06, 'e': 0.125}",20,1,-69.29376657328662,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.06, 'e': 0.12126781251816648}",20,0,-65.98889586696335,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.06, 'e': 0.11785113019775793}",20,0,-26.445460897001237,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.06, 'e': 0.11470786693528087}",25,0,-82.41742345778349,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.06, 'e': 0.11180339887498948}",20,2,12.300169082246137,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.06, 'e': 0.1091089451179962}",25,0,-59.77799406622232,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.06, 'e': 0.10660035817780521}",20,0,6.366134446105022,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.06, 'e': 0.10425720702853739}",30,0,-78.67784490035348,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.06, 'e': 0.10206207261596577}",25,0,-64.5888931469289,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.06, 'e': 0.1}",30,0,-11.980592509706836,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
