trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-263.6146782092728,"{0: 14, 1: 1, 2: 9, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.47783370704384,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.12059537693017,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.62271934148416,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-202.78595283629312,"{0: 17, 1: 3, 2: 13, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.78070043577546,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.58559012594883,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,8,-89.75896024810206,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.85302131511347,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.80798544587282,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.21594504040687,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.81086791632475,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.40777233355319,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.53647914729197,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.21931415445337,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-279.6675855083739,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-296.867903967273,"{0: 13, 1: 0, 2: 11, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.06149217097447,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.0180930026885,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,7,-121.703668939164,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-97.61524535705018,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,6,-123.94703743128736,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-84.22582906049036,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-220.46083495922565,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-165.41228626045208,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-203.4264828072029,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-74.44906996540902,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-154.89323948913008,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-65.15987667516055,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-96.38567697160371,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
